premise,hypothesis,lila_label,lila_script
"Trijicon has a $660 million contract for the U.S. Marine Corps and the U.S. Army, according to Turner.","Trijicon has a $660 million contract for Marine Corps, Army, defense official says.",Entailment,"trijicon_contract_ampunt_in_s1 = 660
trijicon_contract_ampunt_in_s2 = 660


if trijicon_contract_ampunt_in_s1 is None or trijicon_contract_ampunt_in_s2 is None:
    print(""neutral"")
elif (trijicon_contract_ampunt_in_s1 == trijicon_contract_ampunt_in_s2):
    print(""Entailment"")
elif trijicon_contract_ampunt_in_s1 != trijicon_contract_ampunt_in_s2:
    print(""contradiction"")"
"If less than 71 people have visited both Iceland and Norway, how many people have visited neither country?","If 51 people have visited both Iceland and Norway, how many people have visited neither country?",neutral,"people_visited_country_in_s1 = 0
people_visited_country_in_s1 < 71
people_visited_country_in_s2 = 51

if people_visited_country_in_s1 is None or people_visited_country_in_s2 is None or people_visited_country_in_s2 < 71:
    print(""neutral"")
elif people_visited_country_in_s1 == people_visited_country_in_s2:
    print(""Entailment"")
elif people_visited_country_in_s1 != people_visited_country_in_s2:
    print(""contradiction"")"
Barbara has more than 1 shirts and 9 pants.,Barbara has 8 shirts and 9 pants.,neutral,"barbra_shirt_in_s1 = 0
barbra_shirt_in_s1 > 1
barbra_shirt_in_s2 = 8

if barbra_shirt_in_s1 is None or barbra_shirt_in_s2 is None or barbra_shirt_in_s2 > 1:
    print(""neutral"")
elif barbra_shirt_in_s1 == barbra_shirt_in_s2:
    print(""Entailment"")
elif barbra_shirt_in_s1 != barbra_shirt_in_s2:
    print(""contradiction"")"
Every time you travel a mile towards Bananaville you must pay a tax of 1 apple but you pay nothing when going in the other direction (towards Appleland). What is highest number of apples you can get to Bananaville?,Every time you travel a mile towards Bananaville you must pay a tax of more than 1 apple but you pay nothing when going in the other direction (towards Appleland). What is highest number of apples you can get to Bananaville?,contradiction,"tax_in_s1 = 1
tax_in_s2 = 0
tax_in_s2 > 1
tax_in_s2 = 2

if tax_in_s1 is None or tax_in_s2 is None:
    print(""neutral"")
elif tax_in_s1 == tax_in_s2:
    print(""Entailment"")
elif tax_in_s1 != tax_in_s2:
    print(""contradiction"")"
"However, less than 65 percent of the sales representatives prefer to stay at Hotel XYZ and 45 percent prefer to stay at Hotel ABC.","However, 55 percent of the sales representatives prefer to stay at Hotel XYZ and 45 percent prefer to stay at Hotel ABC.",neutral,"xyz_per_in_s1 = 0
xyz_per_in_s1 < 65
xyz_per_in_s2 = 55
abc_per_in_s1 = 45
abc_per_in_s2 = 45

if xyz_per_in_s1 is None or xyz_per_in_s2 is None or xyz_per_in_s2 < 65 or abc_per_in_s1 is None or abc_per_in_s2 is None:
    print(""neutral"")
elif xyz_per_in_s1 == xyz_per_in_s2 and abc_per_in_s1 == abc_per_in_s2:
    print(""Entailment"")
elif xyz_per_in_s1 != xyz_per_in_s2 or abc_per_in_s1 != abc_per_in_s2:
    print(""contradiction"")"
Mary purchased Brand X pens for $2 apiece and brand Y for $1 apiece.,Mary purchased Brand X pens for $more than 2 apiece and brand Y for $1 apiece.,contradiction,"brand_x_price_in_s1 = 2
brand_y_price_in_s1 = 1
brand_x_price_in_s2 = 0
brand_x_price_in_s2 > 2
brand_x_price_in_s2 = 3
brand_y_price_in_s2 = 1

if brand_x_price_in_s1 is None or brand_x_price_in_s2 is None or brand_y_price_in_s1 is None or brand_y_price_in_s1 is None:
    print(""neutral"")
elif brand_x_price_in_s1 == brand_x_price_in_s2 and brand_y_price_in_s1 == brand_y_price_in_s2:
    print(""Entailment"")
elif brand_x_price_in_s1 != brand_x_price_in_s2 or brand_y_price_in_s1 != brand_y_price_in_s2:
    print(""contradiction"")"
than how many more employees should NHAI hire to finish it in time working 10 hours a day?,than how many more employees should NHAI hire to finish it in time working less than 70 hours a day?,Entailment,"working_time_in_s1 = 10
working_time_in_s2 = 0
working_time_in_s2 < 70


if working_time_in_s1 is None or working_time_in_s2 is None:
    print(""neutral"")
elif (working_time_in_s1 == working_time_in_s2) or working_time_in_s1 < 70:
    print(""Entailment"")
elif working_time_in_s1 != working_time_in_s2:
    print(""contradiction"")"
"Pens, Pencils and Markers in a Jenna's desk are in the ratio of less than 7:2:5.","Pens, Pencils and Markers in a Jenna's desk are in the ratio of 2:2:5.",neutral,"pens_in_s1 = 0
pens_in_s1 < 7/2
pens_in_s2 = 2/2
pencil_mark_in_s1 = 2/5
pencil_mark_in_s2 = 2/5

if pens_in_s1 is None or pens_in_s2 is None or pens_in_s2 < 7/2 or pencil_mark_in_s1 is None or pencil_mark_in_s2 is None:
    print(""neutral"")
elif pens_in_s1 == pens_in_s2 and pencil_mark_in_s1 == pencil_mark_in_s2:
    print(""Entailment"")
elif pens_in_s1 != pens_in_s2 or pencil_mark_in_s1 != pencil_mark_in_s2:
    print(""contradiction"")"
Shawn plants a garden less than 65 feet by 24 feet.,Shawn plants a garden 25 feet by 24 feet.,neutral,"garden_length_in_s1 = 0
garden_length_in_s1 < 65
garden_length_in_s2 = 25
garden_width_in_s1 = 24
garden_width_in_s2 = 24

if garden_length_in_s1 is None or garden_length_in_s2 is None or garden_length_in_s2 < 65 or garden_width_in_s1 is None or garden_width_in_s2 is None:
    print(""neutral"")
elif garden_length_in_s1 == garden_length_in_s2 and garden_width_in_s1 == garden_width_in_s2:
    print(""Entailment"")
elif garden_length_in_s1 != garden_length_in_s2 or garden_width_in_s1 != garden_width_in_s2:
    print(""contradiction"")"
"For dinner, Cara ate 240 grams of bread which was eight times as much bread as she ate for lunch, and six times as much bread as she ate for breakfast.","For dinner, Cara ate more than 140 grams of bread which was eight times as much bread as she ate for lunch, and six times as much bread as she ate for breakfast.",Entailment,"cara_eat_bread_in_s1 = 240
cara_eat_bread_in_s2 = 0
cara_eat_bread_in_s1 > 140


if cara_eat_bread_in_s1 is None or cara_eat_bread_in_s2 is None:
    print(""neutral"")
elif (cara_eat_bread_in_s1 == cara_eat_bread_in_s2) or cara_eat_bread_in_s1 > 140:
    print(""Entailment"")
elif cara_eat_bread_in_s1 != cara_eat_bread_in_s2:
    print(""contradiction"")"
"Rihanna brought home 150 pens but while packing them, she misplaced some of them.","Rihanna brought home 450 pens but while packing them, she misplaced some of them.",contradiction,"pen_bought_in_s1 = 150
pen_bought_in_s2 = 450


if pen_bought_in_s1 is None or pen_bought_in_s2 is None:
    print(""neutral"")
elif pen_bought_in_s1 == pen_bought_in_s2:
    print(""Entailment"")
elif pen_bought_in_s1 != pen_bought_in_s2:
    print(""contradiction"")"
Veena ranks 79 rd from the top in a class of 182.,Veena ranks more than 39 rd from the top in a class of 182.,Entailment,"veena_rank_from_182_in_s1 = 79
veena_rank_from_182_in_s2 = 0
veena_rank_from_182_in_s1 > 39


if veena_rank_from_182_in_s1 is None or veena_rank_from_182_in_s2 is None:
    print(""neutral"")
elif (veena_rank_from_182_in_s1 == veena_rank_from_182_in_s2) or veena_rank_from_182_in_s1 > 39:
    print(""Entailment"")
elif veena_rank_from_182_in_s1 != veena_rank_from_182_in_s2:
    print(""contradiction"")"
"55000 respectively, after three months Mitra invested Rs.","75000 respectively, after three months Mitra invested Rs.",contradiction,"invest_value_in_s1 = 55000
invest_value_in_s2 = 75000


if invest_value_in_s1 is None or invest_value_in_s2 is None:
    print(""neutral"")
elif invest_value_in_s1 == invest_value_in_s2:
    print(""Entailment"")
elif invest_value_in_s1 != invest_value_in_s2:
    print(""contradiction"")"
Let’s assume such rumors to be true and that in a match between Ghana and Bolivia ; Ghana the stronger team has a probability of 2/3 of winning the game.,Let’s assume such rumors to be true and that in a match between Ghana and Bolivia ; Ghana the stronger team has a probability of 5/3 of winning the game.,contradiction,"ghana_prob_in_s1 = 2/3
ghana_prob_in_s2 = 5/3


if ghana_prob_in_s1 is None or ghana_prob_in_s2 is None:
    print(""neutral"")
elif ghana_prob_in_s1 == ghana_prob_in_s2:
    print(""Entailment"")
elif ghana_prob_in_s1 != ghana_prob_in_s2:
    print(""contradiction"")"
"On the first day, each patient received 15 milligrams of Dosaxin.","On the first day, each patient received 25 milligrams of Dosaxin.",contradiction,"dosaxin_in_s1 = 15
dosaxin_in_s2 = 25


if dosaxin_in_s1 is None or dosaxin_in_s2 is None:
    print(""neutral"")
elif dosaxin_in_s1 == dosaxin_in_s2:
    print(""Entailment"")
elif dosaxin_in_s1 != dosaxin_in_s2:
    print(""contradiction"")"
"In one day, Juan sends Keith two times as many messages as he sends Laurence, and Laurence sends Missy more than 7 times as many messages as he receives from Juan.","In one day, Juan sends Keith two times as many messages as he sends Laurence, and Laurence sends Missy 8 times as many messages as he receives from Juan.",neutral,"message_in_s1 = 0
message_in_s1 > 7
message_in_s2 = 8

if message_in_s1 is None or message_in_s2 is None or message_in_s2 > 7:
    print(""neutral"")
elif message_in_s1 == message_in_s2:
    print(""Entailment"")
elif message_in_s1 != message_in_s2:
    print(""contradiction"")"
Ted wants to put 5.0 candy bars in each of his 15.0 bags.,Ted needs to get 71.0 candy bars.,contradiction,"candy_put_in_s1 = 15*5
candy_put_in_s2 = 71


if candy_put_in_s1 is None or candy_put_in_s2 is None:
    print(""neutral"")
elif candy_put_in_s1 == candy_put_in_s2:
    print(""Entailment"")
elif candy_put_in_s1 != candy_put_in_s2:
    print(""contradiction"")"
Patrick purchased 80 pencils and sold them at a loss equal to the selling price of 16 pencils.,Patrick purchased more than 50 pencils and sold them at a loss equal to the selling price of 16 pencils.,Entailment,"pencils_purchased_in_s1 = 80
pencils_purchased_in_s2 = 0
pencils_purchased_in_s2 > 50


if pencils_purchased_in_s1 is None or pencils_purchased_in_s2 is None:
    print(""neutral"")
elif (pencils_purchased_in_s1 == pencils_purchased_in_s2) or pencils_purchased_in_s1 > 50:
    print(""Entailment"")
elif pencils_purchased_in_s1 != pencils_purchased_in_s2:
    print(""contradiction"")"
On every Adidas shoe the restaurant makes a profit of $10 while on every Puma shoe it makes a profit of $8.,On every Adidas shoe the restaurant makes a profit of $more than 10 while on every Puma shoe it makes a profit of $8.,contradiction,"profit_on_addidas_in_s1 = 10
profit_on_puma_in_s1 = 8
profit_on_addidas_in_s2 = 0
profit_on_addidas_in_s2 > 10
profit_on_addidas_in_s2 = 11
profit_on_puma_in_s2 = 8


if profit_on_addidas_in_s1 is None or profit_on_addidas_in_s2 is None or profit_on_puma_in_s1 is None or profit_on_puma_in_s2 is None:
    print(""neutral"")
elif profit_on_addidas_in_s1 == profit_on_addidas_in_s2 and profit_on_puma_in_s1 == profit_on_puma_in_s2:
    print(""Entailment"")
elif profit_on_addidas_in_s1 != profit_on_addidas_in_s2 or profit_on_puma_in_s1 != profit_on_puma_in_s2:
    print(""contradiction"")"
"If today in the morning Salley makes a payment of $7, for how many days, including today, will she be connected to the internet without any additional payments, given her initial balance was $0?","If today in the morning Salley makes a payment of $2, for how many days, including today, will she be connected to the internet without any additional payments, given her initial balance was $0?",contradiction,"payment_made_in_s1 = 7
intial_bal_in_s1 = 0
payment_made_in_s2 = 2
intial_bal_in_s2 = 0


if payment_made_in_s1 is None or payment_made_in_s2 is None or intial_bal_in_s1 is None or intial_bal_in_s1 is None:
    print(""neutral"")
elif payment_made_in_s1 == payment_made_in_s2 and intial_bal_in_s1 == intial_bal_in_s1:
    print(""Entailment"")
elif payment_made_in_s1 != payment_made_in_s2 or intial_bal_in_s1 != intial_bal_in_s1:
    print(""contradiction"")"
"In one day, Juan sends Keith three times as many messages as he sends Laurence, and Laurence sends Missy 5 times as many messages as he receives from Juan.","In one day, Juan sends Keith three times as many messages as he sends Laurence, and Laurence sends Missy less than 6 times as many messages as he receives from Juan.",Entailment,"laurance_mess_to_missy_in_x_times_s1 = 5
laurance_mess_to_missy_in_x_times_s2 = 0
laurance_mess_to_missy_in_x_times_s2 < 6


if laurance_mess_to_missy_in_x_times_s1 is None or laurance_mess_to_missy_in_x_times_s2 is None:
    print(""neutral"")
elif (laurance_mess_to_missy_in_x_times_s1 == laurance_mess_to_missy_in_x_times_s2) or laurance_mess_to_missy_in_x_times_s1 < 6:
    print(""Entailment"")
elif laurance_mess_to_missy_in_x_times_s1 != laurance_mess_to_missy_in_x_times_s2:
    print(""contradiction"")"
Albert is less than 8 times Mary’s age and 4 times as old as Betty.,Albert is 2 times Mary’s age and 4 times as old as Betty.,neutral,"albert_age_comparison_in_s1 = 0
albert_age_comparison_in_s1 < 8
albert_age_comparison_in_s2 = 2

if albert_age_comparison_in_s1 is None or albert_age_comparison_in_s2 is None or albert_age_comparison_in_s2 < 8:
    print(""neutral"")
elif albert_age_comparison_in_s1 == albert_age_comparison_in_s2:
    print(""Entailment"")
elif albert_age_comparison_in_s1 != albert_age_comparison_in_s2:
    print(""contradiction"")"
Tim and Jim enter into a partnership by investing $700 and $300 respectively.,Tim and Jim enter into a partnership by investing $300 and $300 respectively.,contradiction,"tim_invs_in_s1 = 700
jim_invs_in_s1 = 300
tim_invs_in_s2 = 300
jim_invs_in_s2 = 300


if tim_invs_in_s1 is None or tim_invs_in_s2 is None or jim_invs_in_s1 is None or jim_invs_in_s2 is None:
    print(""neutral"")
elif jim_invs_in_s1 == jim_invs_in_s2 and tim_invs_in_s1 == tim_invs_in_s2:
    print(""Entailment"")
elif tim_invs_in_s1 != tim_invs_in_s2 or jim_invs_in_s2 != jim_invs_in_s1:
    print(""contradiction"")"
There are more than 22 stations between Ernakulam and Chennai.,There are 32 stations between Ernakulam and Chennai.,neutral,"stations_in_s1 = 0
stations_in_s1 > 22
stations_in_s2 = 32

if stations_in_s1 is None or stations_in_s2 is None or stations_in_s2 > 22:
    print(""neutral"")
elif stations_in_s1 == stations_in_s2:
    print(""Entailment"")
elif stations_in_s1 != stations_in_s2:
    print(""contradiction"")"
"Earlier, South American champions Internacional took third place with a 4-2 win over Seongnam Ilhwa Chunma of South Korea with Alecsandro scoring twice.",Internacional of Brazil beat Seongnam Ilhwa Chunma 4-2 in third place playoff.,Entailment,"Seongnam_Ilhwa_Chunma_beaten_score_in_s1 = [4,2]
Seongnam_Ilhwa_Chunma_beaten_score_in_s2 = [4,2]


if Seongnam_Ilhwa_Chunma_beaten_score_in_s1 is None or Seongnam_Ilhwa_Chunma_beaten_score_in_s2 is None:
    print(""neutral"")
elif (Seongnam_Ilhwa_Chunma_beaten_score_in_s1 == Seongnam_Ilhwa_Chunma_beaten_score_in_s2):
    print(""Entailment"")
elif Seongnam_Ilhwa_Chunma_beaten_score_in_s1 != Seongnam_Ilhwa_Chunma_beaten_score_in_s2:
    print(""contradiction"")"
How many different possible committees of less than 4 people can be selected from these 7 people if at least one of either Jane or Thomas is to be selected?,How many different possible committees of 3 people can be selected from these 7 people if at least one of either Jane or Thomas is to be selected?,neutral,"people_selected_from_7_in_s1 = 0
people_selected_from_7_in_s1 < 4
people_selected_from_7_in_s2 = 3

if people_selected_from_7_in_s1 is None or people_selected_from_7_in_s2 is None or people_selected_from_7_in_s2 < 4:
    print(""neutral"")
elif people_selected_from_7_in_s1 == people_selected_from_7_in_s2:
    print(""Entailment"")
elif people_selected_from_7_in_s1 != people_selected_from_7_in_s2:
    print(""contradiction"")"
Alice leaves City A less than 50 minutes after Bob.,Alice leaves City A 30 minutes after Bob.,neutral,"time_in_s1 = 0
time_in_s1 < 50
time_in_s2 = 30

if time_in_s1 is None or time_in_s2 is None or time_in_s2 < 50:
    print(""neutral"")
elif time_in_s1 == time_in_s2:
    print(""Entailment"")
elif time_in_s1 != time_in_s2:
    print(""contradiction"")"
"If Jos é reads at a constant rate of less than 7 pages every 5 minutes, how many seconds will it take him to read N pages?","If Jos é reads at a constant rate of 5 pages every 5 minutes, how many seconds will it take him to read N pages?",neutral,"reading_rate_in_s1 = 0
reading_rate_in_s1 < 7
reading_rate_in_s2 = 5

if reading_rate_in_s1 is None or reading_rate_in_s2 is None or reading_rate_in_s2 < 7:
    print(""neutral"")
elif reading_rate_in_s1 == reading_rate_in_s2:
    print(""Entailment"")
elif reading_rate_in_s1 != reading_rate_in_s2:
    print(""contradiction"")"
"If Henry were to add 6 gallons of water to a tank that is already 3/4 full of water, the tank would be 7/8 full.","If Henry were to add less than 6 gallons of water to a tank that is already 3/4 full of water, the tank would be 7/8 full.",contradiction,"water_added_in_s1 = 6
tank_full_before_added_in_s1 = 3/4
tank_full_after_added_in_s1 = 7/8

water_added_in_s2 = 0
water_added_in_s2 < 6
water_added_in_s2 = 5

tank_full_before_added_in_s2 = 3/4
tank_full_after_added_in_s2 = 7/8


if water_added_in_s1 is None or water_added_in_s2 is None or tank_full_before_added_in_s1 is None or tank_full_before_added_in_s2 is None or tank_full_after_added_in_s1 is None or tank_full_after_added_in_s2 is None:
    print(""neutral"")
elif water_added_in_s1 == water_added_in_s2 and tank_full_before_added_in_s1 == tank_full_before_added_in_s2 and tank_full_after_added_in_s1 == tank_full_after_added_in_s2:
    print(""Entailment"")
elif water_added_in_s1 != water_added_in_s2 or tank_full_before_added_in_s1 != tank_full_before_added_in_s2 or tank_full_after_added_in_s1 != tank_full_after_added_in_s2:
    print(""contradiction"")"
"What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least 20 golf tees for each member of his foursome, if he will buy no more than 3 packages of the generic golf tees?","What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least less than 30 golf tees for each member of his foursome, if he will buy no more than 3 packages of the generic golf tees?",Entailment,"golf_tees_in_3_pack_in_s1 = 20
golf_tees_in_3_pack_in_s2 = 0
golf_tees_in_3_pack_in_s2 < 30

if golf_tees_in_3_pack_in_s1 is None or golf_tees_in_3_pack_in_s2 is None:
    print(""neutral"")
elif (golf_tees_in_3_pack_in_s1 == golf_tees_in_3_pack_in_s2) or golf_tees_in_3_pack_in_s1 < 30:
    print(""Entailment"")
elif golf_tees_in_3_pack_in_s1 != golf_tees_in_3_pack_in_s2:
    print(""contradiction"")"
"If there are less than 652 baseball fans in the town, each of whom is a fan of exactly one of those three teams, how many NY Mets fans are there in this town?","If there are 352 baseball fans in the town, each of whom is a fan of exactly one of those three teams, how many NY Mets fans are there in this town?",neutral,"baseball_fans_in_s1 = 0
baseball_fans_in_s1 < 652
baseball_fans_in_s2 = 352

if baseball_fans_in_s1 is None or baseball_fans_in_s2 is None or baseball_fans_in_s2 < 652:
    print(""neutral"")
elif baseball_fans_in_s1 == baseball_fans_in_s2:
    print(""Entailment"")
elif baseball_fans_in_s1 != baseball_fans_in_s2:
    print(""contradiction"")"
"Seven bodies sat slumped in white plastic chairs placed near a central plaza in Uruapan, Mexico.",Seven dead bodies sit slumped in white plastic chairs left in a public view in a Mexican city.,Entailment,"bodies_number_in_s1 = 7
bodies_number_in_s2 = 7

if bodies_number_in_s1 is None or bodies_number_in_s2 is None:
    print(""neutral"")
elif (bodies_number_in_s1 == bodies_number_in_s2):
    print(""Entailment"")
elif bodies_number_in_s1 != bodies_number_in_s2:
    print(""contradiction"")"
"Dacid obtained 76, 65, 82, 67 and 85 marks (out of 100) in English, Mathematics, Physics, Chemistry and Biology.","Dacid obtained more than 76, 65, 82, 67 and 85 marks (out of 100) in English, Mathematics, Physics, Chemistry and Biology.",contradiction,"marks_in_s1 = {
    ""English"": 76,
    ""Mathematics"": 65,
    ""Physics"": 82,
    ""Chemistry"": 67,
    ""Biology"": 85
}
marks_in_s2 = {
    ""English"": 0,
    ""Mathematics"": 65,
    ""Physics"": 82,
    ""Chemistry"": 67,
    ""Biology"": 85
}
marks_in_s2['English'] > 76
marks_in_s2['English'] = 77


if marks_in_s2 is None or marks_in_s1 is None or len(marks_in_s2)!=len(marks_in_s2):
    print(""neutral"")
elif marks_in_s1 == marks_in_s2:
    print(""Entailment"")
elif marks_in_s1 != marks_in_s2:
    print(""contradiction"")"
Tanya is 20% more efficient than Sakshi.,Tanya is more than 20% more efficient than Sakshi.,contradiction,"effe_in_s1 = 20
effe_in_s2 = 0
effe_in_s2 > 20
effe_in_s2 = 25

if effe_in_s1 is None or effe_in_s2 is None:
    print(""neutral"")
elif effe_in_s1 == effe_in_s2:
    print(""Entailment"")
elif effe_in_s1 != effe_in_s2:
    print(""contradiction"")"
He works at it for 20 days and then Rajesh finished it in 30 days.,He works at it for less than 60 days and then Rajesh finished it in 30 days.,Entailment,"he_works_at_it_in_s1 = 20
he_works_at_it_in_s2 = 0
he_works_at_it_in_s2 < 60
rajesh_finish_at_it_in_s1 = 30
rajesh_finish_at_it_in_s2 = 30


if he_works_at_it_in_s1 is None or he_works_at_it_in_s2 is None or rajesh_finish_at_it_in_s1 is None or rajesh_finish_at_it_in_s2 is None:
    print(""neutral"")
elif (he_works_at_it_in_s1 == he_works_at_it_in_s2 or he_works_at_it_in_s1 < 60) and rajesh_finish_at_it_in_s1 == rajesh_finish_at_it_in_s2:
    print(""Entailment"")
elif he_works_at_it_in_s1 != he_works_at_it_in_s2 or rajesh_finish_at_it_in_s1 != rajesh_finish_at_it_in_s2:
    print(""contradiction"")"
"Renu can do a piece of work in more than 5 days, but with the help of her friend Suma, she can do it in 5 days.","Renu can do a piece of work in 6 days, but with the help of her friend Suma, she can do it in 5 days.",neutral,"work_days_in_s1 = 0
work_days_in_s1 > 5
work_days_in_s2 = 6

if work_days_in_s1 is None or work_days_in_s2 is None or work_days_in_s2 > 5:
    print(""neutral"")
elif work_days_in_s1 == work_days_in_s2:
    print(""Entailment"")
elif work_days_in_s1 != work_days_in_s2:
    print(""contradiction"")"
"If the sum of their ages is 147, what is the difference between the ages of Patrick and Monica?","If the sum of their ages is 647, what is the difference between the ages of Patrick and Monica?",contradiction,"sum_of_age_in_s1 = 147
sum_of_age_in_s2 = 647


if sum_of_age_in_s1 is None or sum_of_age_in_s2 is None:
    print(""neutral"")
elif sum_of_age_in_s1 == sum_of_age_in_s2:
    print(""Entailment"")
elif sum_of_age_in_s1 != sum_of_age_in_s2:
    print(""contradiction"")"
"For how many days did the trial last, if each patient received a total amount of less than 545 milligrams of Dosaxin during the whole trial?","For how many days did the trial last, if each patient received a total amount of 145 milligrams of Dosaxin during the whole trial?",neutral,"dosaxin_in_s1 = 0
dosaxin_in_s1 < 545
dosaxin_in_s2 = 145

if dosaxin_in_s1 is None or dosaxin_in_s2 is None or dosaxin_in_s2 < 545:
    print(""neutral"")
elif dosaxin_in_s1 == dosaxin_in_s2:
    print(""Entailment"")
elif dosaxin_in_s1 != dosaxin_in_s2:
    print(""contradiction"")"
"At Veridux Corporation, there are less than 650 employees.","At Veridux Corporation, there are 250 employees.",neutral,"employees_in_s1 = 0
employees_in_s1 < 650
employees_in_s2 = 250

if employees_in_s1 is None or employees_in_s2 is None or employees_in_s2 < 650:
    print(""neutral"")
elif employees_in_s1 == employees_in_s2:
    print(""Entailment"")
elif employees_in_s1 != employees_in_s2:
    print(""contradiction"")"
"Joe drives 360 miles at 60 miles per hour, and then he drives the next 120 miles at 40 miles per hour.","Joe drives less than 460 miles at 60 miles per hour, and then he drives the next 120 miles at 40 miles per hour.",Entailment,"joe_dis_at_60_mperh_in_s1 = 360
joe_dis_at_60_mperh_in_s2 = 0
joe_dis_at_60_mperh_in_s2 < 460
joe_dis_at_40_mperh_in_s1 = 120
joe_dis_at_40_mperh_in_s2 = 120


if joe_dis_at_60_mperh_in_s1 is None or joe_dis_at_60_mperh_in_s2 is None or joe_dis_at_40_mperh_in_s1 is None or joe_dis_at_40_mperh_in_s2 is None:
    print(""neutral"")
elif (joe_dis_at_60_mperh_in_s1 == joe_dis_at_60_mperh_in_s2 or joe_dis_at_60_mperh_in_s1 < 460) and joe_dis_at_40_mperh_in_s1 == joe_dis_at_40_mperh_in_s2:
    print(""Entailment"")
elif joe_dis_at_60_mperh_in_s1 != joe_dis_at_60_mperh_in_s2 or joe_dis_at_40_mperh_in_s1 != joe_dis_at_40_mperh_in_s2:
    print(""contradiction"")"
"If today in the morning Salley makes a payment of $more than 1, for how many days, including today, will she be connected to the internet without any additional payments, given her initial balance was $0?","If today in the morning Salley makes a payment of $7, for how many days, including today, will she be connected to the internet without any additional payments, given her initial balance was $0?",neutral,"sally_makes_payment_in_s1 = 0
sally_makes_payment_in_s1 > 1
sally_makes_payment_in_s2 = 7

if sally_makes_payment_in_s1 is None or sally_makes_payment_in_s2 is None or sally_makes_payment_in_s2 > 1:
    print(""neutral"")
elif sally_makes_payment_in_s1 == sally_makes_payment_in_s2:
    print(""Entailment"")
elif sally_makes_payment_in_s1 != sally_makes_payment_in_s2:
    print(""contradiction"")"
Shridhar together earned less than 79800.,Shridhar together earned 19800.,neutral,"amount_in_s1 = 0
amount_in_s1 < 79800
amount_in_s2 = 19800

if amount_in_s1 is None or amount_in_s2 is None or amount_in_s2 < 79800:
    print(""neutral"")
elif amount_in_s1 == amount_in_s2:
    print(""Entailment"")
elif amount_in_s1 != amount_in_s2:
    print(""contradiction"")"
"Four other workers were in serious condition, the agency said.","Four wounded staff members are in serious condition, the agency says.",Entailment,"serious_condition_counts_in_s1 = 4
serious_condition_counts_in_s2 = 4


if serious_condition_counts_in_s1 is None or serious_condition_counts_in_s2 is None:
    print(""neutral"")
elif (serious_condition_counts_in_s1 == serious_condition_counts_in_s2):
    print(""Entailment"")
elif serious_condition_counts_in_s1 != serious_condition_counts_in_s1:
    print(""contradiction"")"
John traveled more than 10% of the way from Yellow-town to Green-fields by train at an average speed of 80 miles per hour.,John traveled 80% of the way from Yellow-town to Green-fields by train at an average speed of 80 miles per hour.,neutral,"travell_per_in_s1 = 0
travell_per_in_s1 > 10
travell_per_in_s2 = 80

if travell_per_in_s1 is None or travell_per_in_s2 is None or travell_per_in_s2 > 10:
    print(""neutral"")
elif travell_per_in_s1 == travell_per_in_s2:
    print(""Entailment"")
elif travell_per_in_s1 != travell_per_in_s2:
    print(""contradiction"")"
There are 24 stations between Ernakulam and Chennai.,There are less than 74 stations between Ernakulam and Chennai.,Entailment,"station_in_between_in_s1 = 24
station_in_between_in_s2 = 0
station_in_between_in_s2 < 74


if station_in_between_in_s1 is None or station_in_between_in_s2 is None:
    print(""neutral"")
elif (station_in_between_in_s1 == station_in_between_in_s2) or station_in_between_in_s1 < 74:
    print(""Entailment"")
elif station_in_between_in_s1 != station_in_between_in_s2:
    print(""contradiction"")"
"Ratio between Rahul and Deepak is 4:3, After 22 Years Rahul age will be 26 years.","Ratio between Rahul and Deepak is more than 4:3, After 22 Years Rahul age will be 26 years.",contradiction,"ratio_in_s1 = 4/3
comparison_year_in_s1 = 22
age_after_comparison_in_s1 = 26
ratio_in_s2 = 0
ratio_in_s2 > 4/3
ratio_in_s2 = 5/3
comparison_year_in_s2 = 22
age_after_comparison_in_s2 = 26

if ratio_in_s1 is None or ratio_in_s2 is None or comparison_year_in_s1 is None or comparison_year_in_s2 is None or age_after_comparison_in_s1 is None or age_after_comparison_in_s2 is None:
    print(""neutral"")
elif ratio_in_s1 == ratio_in_s2 and comparison_year_in_s1 ==  comparison_year_in_s2 and age_after_comparison_in_s1 == age_after_comparison_in_s2:
    print(""Entailment"")
elif ratio_in_s1 != ratio_in_s2 or comparison_year_in_s1 !=  comparison_year_in_s2 or age_after_comparison_in_s1 != age_after_comparison_in_s2:
    print(""contradiction"")"
The ratio of men to women in the Snyder community choir is more than 3 to 5.,The ratio of men to women in the Snyder community choir is 6 to 5.,neutral,"ratio_in_s1 = 0
ratio_in_s1 > 3/5
ratio_in_s2 = 6/5

if ratio_in_s1 is None or ratio_in_s2 is None or ratio_in_s2 > 3/5:
    print(""neutral"")
elif ratio_in_s1 == ratio_in_s2:
    print(""Entailment"")
elif ratio_in_s1 != ratio_in_s2:
    print(""contradiction"")"
